DiffLemmas,DiffPOS,bigramsEntropy,trigramsEntropy,readabilityMeasure,NumberOfUniqueWordsby1/freq,AvgUniqueness,percentageOfRepeatedWords,theUniquenessLvlOfTheRepeatedSongs,avg_word_similarity_hebrew,word_similarity_large,MappedStyle
73,10,6.4209402,6.618607522,12.64,13,1010711.845,1.941747573,170079.069,0.32196933,0.8595036,0
77,10,6.60236475,6.810707442,67.945,7,418107.979,2.564102564,4573.226,0.439187348,0.8697318,0
47,7,5.529242604,5.837752428,45.84,6,290930.856,2.985074627,5316.91,0.417176366,0.8636315,0
42,8,5.649703072,6.10690468,9.715,13,718665.56,4.47761194,1257.453,0.438894659,0.8804125,0
52,9,5.559012049,5.919797097,68.915,2,94938.36,1.481481481,20626.504,0.440414578,0.8765252,0
66,8,6.398455706,6.433565107,10.64,3,170970.532,1.075268817,436.681,0.453866184,0.87561506,0
44,9,5.675068124,5.775352441,4.535,2,219108.285,5.384615385,2864.791,0.447611839,0.8677885,0
83,10,6.53135855,6.682412352,27.475,17,513853.192,3.086419753,27199.679,0.322944283,0.8634132,0
56,9,6.10638365,6.250452407,7.47,4,116943.964,0,0,0.43852815,0.86897105,0
51,9,5.949215698,6,3.295,1,88375.838,0,0,0.349623948,0.8668919,0
91,12,6.630235483,6.721721231,82.535,9,273252.692,1.408450704,109.425,0.294563711,0.8631585,0
79,9,6.844082104,6.939542721,12.96,8,1177973.734,1.5625,437.368,0.466590822,0.8670642,0
75,7,6.257102661,6.450439718,75.035,12,624318.493,1.886792453,17451.263,0.37151593,0.8555193,0
71,11,6.4650671,6.525374257,55.74,15,1471946.163,0,0,0.449838936,0.85990244,0
65,9,6.057870541,6.137642527,10.43,3,92588.094,5.405405405,2703.81,0.423369884,0.87405765,0
44,9,5.74112747,5.909440453,16.05,6,820119.456,2.702702703,101241.321,0.404964805,0.85914034,0
60,8,6.143359998,6.20385619,59.7,12,293184.753,0.980392157,70.922,0.326020747,0.85712063,0
96,10,6.805114522,6.819961545,11.14,16,893112.434,0.675675676,49.02,0.398656428,0.8657046,0
70,9,6.364340246,6.597446217,58.255,8,1696853.481,3.50877193,60389.448,0.321320951,0.87014514,0
64,9,6.367631041,6.42518643,49.265,3,161740.834,1.086956522,165.837,0.445112765,0.87591815,0
62,11,6.379753127,6.385861524,53.34,4,156849.902,1.149425287,61.728,0.469937295,0.87140113,0
81,11,6.574761456,6.783904443,10.48,6,648804.668,3.012048193,382.032,0.296319515,0.8681818,0
38,10,5.30918372,5.525176001,46.44,4,516394.398,3.703703704,2714.272,0.457821101,0.87489873,0
59,11,6.168218997,6.340069011,9.56,7,1035317.53,3.06122449,174.663,0.427605838,0.8701653,0
59,8,5.936046887,6.116433473,20.04,6,670097.962,3.370786517,2428.617,0.455245405,0.86605495,0
131,9,7.58895258,7.611899535,10.02,37,2352490.247,1.005025126,476.902,0.342303693,0.8569717,0
51,9,6.011842188,6.146017056,57.425,5,194712.343,4.12371134,19920.457,0.394104004,0.8753936,0
54,8,6.1756398,6.387360701,13.64,0,18545.298,3.603603604,873.091,0.442492068,0.8807718,0
64,6,6.138242272,6.241681714,48.94,3,172647.445,2.247191011,7513.317,0.404433757,0.86230624,0
86,12,6.828479833,6.892003697,38.8,5,337466.491,1.169590643,83.22,0.305247188,0.8697374,0
53,8,5.987555518,6.013593648,49.45,5,307215.617,2.352941176,23572.72,0.363270134,0.86339283,0
73,8,6.164181743,6.349630117,14.595,17,344225.687,5.04587156,18742.82,0.291836381,0.86822754,0
65,9,6.426596235,6.51203566,60.825,4,484466.166,3.125,70251.289,0.469113082,0.870148,0
56,9,6.25903545,6.309985685,46.41,5,1297592.096,1.136363636,49.02,0.463474542,0.8653174,0
37,9,5.521209565,5.780871772,10.235,1,79059.496,2.97029703,890.049,0.438820004,0.87384826,0
64,9,6.299269703,6.388621177,4.62,4,544959.124,2.105263158,275.962,0.432135195,0.873148,0
111,12,7.042035775,7.094627554,83.515,14,533305.784,1.744186047,144985.841,0.402381331,0.8649062,0
57,8,5.872423459,5.976839112,5.47,10,717658.281,2.479338843,9280.576,0.338624239,0.86718,0
63,7,6.256564762,6.398855158,19.745,18,1938160.999,3.305785124,167.967,0.393927544,0.8581427,0
27,7,5.210479297,5.536415836,1.96,3,374080.839,3.076923077,11472.512,0.312464088,0.8781064,0
53,9,5.957343236,6.29048089,6,4,811288.152,4,567.686,0.42422235,0.87979406,0
65,10,6.23539618,6.414655867,4.945,1,148445.004,1.904761905,67507.247,0.390990883,0.87455696,0
46,8,5.85877557,6.133045022,47.935,9,334354.528,6.12244898,328481.119,0.384290904,0.87458146,0
27,8,4.862206411,5.076825785,19.635,2,294176.698,4.651162791,2898.073,0.393308043,0.87248415,0
90,8,6.816418774,6.858975965,9.805,12,848692.942,0.806451613,952.381,0.419083059,0.86535376,0
64,8,6.222080354,6.291853096,51.905,6,276885.432,1.086956522,165.837,0.414399534,0.8693342,0
74,9,6.140771467,6.196516015,84.565,22,1133951.104,0,0,0.308555812,0.8594456,0
77,10,6.518500448,6.677459601,106.77,17,1115255.783,5.056179775,53671.287,0.283075035,0.8639299,0
57,10,6.003986033,6.18519725,18.415,19,2353595.216,2.912621359,536986.749,0.420947105,0.8636038,0
44,8,5.869015335,6.01608859,43.135,11,642498.026,3.571428571,96031.054,0.371240884,0.8579726,0
71,10,6.42875844,6.528346519,56.73,9,1362878.31,1.98019802,16067.883,0.445326328,0.8722215,0
53,9,6.116348566,6.14881869,39,3,189197.857,1.298701299,632.911,0.432563275,0.86567575,0
53,8,6.250228998,6.397621963,57.485,6,497818.65,3.125,5457.965,0.414550692,0.8707969,0
57,9,6.025299736,6.028991962,5.46,7,350059.788,0,0,0.374427795,0.8733087,0
