wordCount,uniqueWords,numberOfRepeatedWords,ratioOfTotalWordsToUnique,DiffLemmas,DiffPOS,bigramsEntropy,trigramsEntropy,averageSetWordLength,WordsRhymes,RatioOfPOStoWords,readabilityMeasure,NumberOfUniqueWordsby1/freq,AvgUniqueness,percentageOfRepeatedWords,theUniquenessLvlOfTheRepeatedSongs,semantic_similarity,average_word_frequency,avg_word_similarity_hebrew,avg_word_similarity_english,word_similarity_large,MappedStyle
103,79,24,0.766990291,73,10,6.4209402,6.618607522,4.493670886,189,0.097087379,12.64,13,1010711.845,1.941747573,170079.069,0.66377497,0.000851171,0.32196933,0.367167532,0.8595036,0
117,85,32,0.726495726,77,10,6.60236475,6.810707442,4.082352941,66,0.085470085,67.945,7,418107.979,2.564102564,4573.226,0.69243646,0.001366134,0.439187348,0.31518957,0.8697318,0
67,47,20,0.701492537,47,7,5.529242604,5.837752428,4.085106383,17,0.104477612,45.84,6,290930.856,2.985074627,5316.91,0.7588231,0.000903979,0.417176366,0.367745012,0.8636315,0
134,48,86,0.358208955,42,8,5.649703072,6.10690468,4.104166667,116,0.059701493,9.715,13,718665.56,4.47761194,1257.453,0.556056,0.002323711,0.438894659,0.363563925,0.8804125,0
135,61,74,0.451851852,52,9,5.559012049,5.919797097,4.016393443,124,0.066666667,68.915,2,94938.36,1.481481481,20626.504,0.57942194,0.001262385,0.440414578,0.344832093,0.8765252,0
93,73,20,0.784946237,66,8,6.398455706,6.433565107,4.02739726,51,0.086021505,10.64,3,170970.532,1.075268817,436.681,0.6900902,0.002316046,0.453866184,0.413601756,0.87561506,0
130,46,84,0.353846154,44,9,5.675068124,5.775352441,3.934782609,271,0.069230769,4.535,2,219108.285,5.384615385,2864.791,0.64160997,0.003322577,0.447611839,0.29297775,0.8677885,0
162,91,71,0.561728395,83,10,6.53135855,6.682412352,4.153846154,93,0.061728395,27.475,17,513853.192,3.086419753,27199.679,0.6002933,0.00274436,0.322944283,0.349334598,0.8634132,0
87,59,28,0.67816092,56,9,6.10638365,6.250452407,3.983050847,30,0.103448276,7.47,4,116943.964,0,0,0.68733245,0.002313845,0.43852815,0.40818578,0.86897105,0
66,57,9,0.863636364,51,9,5.949215698,6,3.947368421,28,0.136363636,3.295,1,88375.838,0,0,0.66184175,0.00140794,0.349623948,0.358576,0.8668919,0
142,96,46,0.676056338,91,12,6.630235483,6.721721231,4.052083333,125,0.084507042,82.535,9,273252.692,1.408450704,109.425,0.65511906,0.001670294,0.294563711,0.313776344,0.8631585,0
128,93,35,0.7265625,79,9,6.844082104,6.939542721,3.774193548,93,0.0703125,12.96,8,1177973.734,1.5625,437.368,0.67957926,0.002904792,0.466590822,0.306437522,0.8670642,0
106,78,28,0.735849057,75,7,6.257102661,6.450439718,4.628205128,111,0.066037736,75.035,12,624318.493,1.886792453,17451.263,0.639959,0.000815836,0.37151593,0.33283785,0.8555193,0
100,81,19,0.81,71,11,6.4650671,6.525374257,4,93,0.11,55.74,15,1471946.163,0,0,0.6689016,0.001706025,0.449838936,0.287813485,0.85990244,0
111,65,46,0.585585586,65,9,6.057870541,6.137642527,4.138461538,411,0.081081081,10.43,3,92588.094,5.405405405,2703.81,0.56698155,0.001461462,0.423369884,0.391249627,0.87405765,0
74,46,28,0.621621622,44,9,5.74112747,5.909440453,3.5,40,0.121621622,16.05,6,820119.456,2.702702703,101241.321,0.63349044,0.001963191,0.404964805,0.424357146,0.85914034,0
102,67,35,0.656862745,60,8,6.143359998,6.20385619,4.71641791,477,0.078431373,59.7,12,293184.753,0.980392157,70.922,0.43550837,0.001538103,0.326020747,0.333513856,0.85712063,0
148,104,44,0.702702703,96,10,6.805114522,6.819961545,4.490384615,408,0.067567568,11.14,16,893112.434,0.675675676,49.02,0.64949286,0.001956335,0.398656428,0.30757463,0.8657046,0
114,74,40,0.649122807,70,9,6.364340246,6.597446217,4.337837838,95,0.078947368,58.255,8,1696853.481,3.50877193,60389.448,0.59054935,0.002886506,0.321320951,0.337139189,0.87014514,0
92,73,19,0.793478261,64,9,6.367631041,6.42518643,4.178082192,102,0.097826087,49.265,3,161740.834,1.086956522,165.837,0.71478844,0.002478957,0.445112765,0.405638754,0.87591815,0
87,71,16,0.816091954,62,11,6.379753127,6.385861524,4.056338028,32,0.126436782,53.34,4,156849.902,1.149425287,61.728,0.7347522,0.002907917,0.469937295,0.32739079,0.87140113,0
166,88,78,0.530120482,81,11,6.574761456,6.783904443,4.147727273,186,0.06626506,10.48,6,648804.668,3.012048193,382.032,0.6026539,0.001692711,0.296319515,0.315226823,0.8681818,0
81,41,40,0.50617284,38,10,5.30918372,5.525176001,3.707317073,34,0.12345679,46.44,4,516394.398,3.703703704,2714.272,0.6820493,0.001053573,0.457821101,0.364406049,0.87489873,0
98,63,35,0.642857143,59,11,6.168218997,6.340069011,3.952380952,50,0.112244898,9.56,7,1035317.53,3.06122449,174.663,0.6636342,0.003641041,0.427605838,0.349936634,0.8701653,0
89,61,28,0.685393258,59,8,5.936046887,6.116433473,4.114754098,62,0.08988764,20.04,6,670097.962,3.370786517,2428.617,0.7052807,0.001360565,0.455245405,0.397819757,0.86605495,0
