releaseYear,MappedStyle
2019,0
2019,0
1987,0
1989,0
1988,0
2022,0
1989,0
2022,0
1999,0
2018,0
1995,0
1998,0
1989,0
1989,0
2019,0
1999,0
2023,0
2019,0
1999,0
1999,0
1987,0
2021,0
1988,0
2018,0
2023,0
2022,0
2022,0
2021,0
1987,0
2021,0
2021,0
1988,0
1991,0
1999,0
2020,0
1999,0
1989,0
1987,0
2021,0
2022,0
2021,0
1987,0
2021,0
1999,0
2023,0
2021,0
2019,0
2019,0
1988,0
1989,0
1988,0
1988,0
2022,0
1987,0
1987,0
2022,0
2021,0
2017,0
1988,0
1989,0
1989,0
1988,0
1989,0
2018,0
2021,0
2021,0
1987,0
2023,0
2023,0
1988,0
1988,0
1987,0
1989,0
2022,0
2024,0
2016,0
2022,0
2022,0
2021,0
2014,0
2019,0
2022,0
2022,0
2022,0
2022,0
2021,0
2023,0
2018,0
2022,0
2022,0
2022,0
2021,0
2015,0
2018,0
2019,0
2021,0
2019,0
2022,0
2019,0
2020,0
2016,0
2000,0
2022,0
2022,0
2022,0
2022,0
1976,1
1977,1
1977,1
1977,1
1978,1
2004,1
1979,1
1987,1
2004,1
1979,1
1999,1
1980,1
1985,1
1976,1
1977,1
1979,1
1987,1
2016,1
1979,1
2013,1
1999,1
1991,1
1979,1
1985,1
1991,1
1987,1
1991,1
1975,1
1978,1
2016,1
1985,1
1988,1
1975,1
2013,1
2019,1
2005,1
1991,1
2004,1
1976,1
1977,1
2019,1
1987,1
1999,1
2016,1
1985,1
2005,1
2004,1
1975,1
1979,1
1985,1
1978,1
1975,1
2004,1
1987,1
1985,1
1975,1
1978,1
1979,1
1985,1
2004,1
1975,1
1976,1
1991,1
1977,1
1977,1
1987,1
1991,1
1978,1
1976,1
2004,1
1976,1
1987,1
1991,1
1976,1
1975,1
1977,1
1978,1
2004,1
2019,1
1999,1
1978,1
1997,1
1999,1
1977,1
2005,1
1979,1
1991,1
2022,1
2023,1
1979,1
1976,1
1979,1
1979,1
1985,1
1977,1
1991,1
1999,1
2018,2
2024,2
2006,2
2022,2
2022,2
1969,2
2021,2
2015,3
2019,3
2013,3
2020,3
1999,3
2004,3
1999,3
2008,3
2024,3
2008,3
2007,3
2015,3
2013,3
2007,3
2007,3
2019,3
2020,3
2015,3
2020,3
2020,3
2019,3
2002,3
2007,3
2020,3
2020,3
1999,3
2024,3
2019,3
2019,3
2015,3
2015,3
2008,3
2004,3
2019,3
2019,3
2019,3
2019,3
2019,3
2020,3
2008,3
2010,3
1999,3
2015,3
1999,3
1999,3
2019,3
2019,3
2008,3
2008,3
2014,3
2015,3
2008,3
2004,3
2002,3
2002,3
2019,3
2008,3
2019,3
2010,3
2004,3
2022,3
2019,3
2019,3
2020,3
2015,3
1999,3
2019,3
1999,3
2013,3
1999,3
2004,3
2015,3
2013,3
1999,3
2008,3
2019,3
2019,3
2007,3
2019,3
2019,3
2019,3
2022,3
1999,3
2010,3
2020,3
2019,3
2008,3
2002,3
2004,3
2019,3
2019,3
2004,3
2019,3
1999,3
2008,3
2004,3
2010,3
2002,3
2004,3
1999,3
2002,3
2013,3
2019,3
1999,3
2019,3
2015,3
2002,3
2008,3
2019,3
2022,3
1999,3
2008,3
2013,3
2019,3
1999,3
2019,3
2013,3
1999,3
2019,3
2022,3
1999,3
2008,3
1999,3
1999,3
1999,3
2019,3
2019,3
2007,3
2014,3
2020,3
1999,3
2019,3
2021,3
2013,3
2019,3
2019,3
2019,3
2002,3
2019,3
2007,3
2010,4
2013,4
2022,4
2018,4
2013,4
2018,4
2010,4
2010,4
2021,4
2010,4
2021,4
2010,4
2020,4
2010,4
2010,4
2013,4
2018,4
2018,4
2010,4
2021,4
2013,4
2013,4
2010,4
2018,4
2013,4
2013,4
2013,4
2013,4
2019,4
2008,4
2013,4
2019,4
2010,4
2013,4
2010,4
2010,4
2017,0
2013,0
2013,0
2022,0
2021,0
2019,0
2019,0
2017,0
2021,0
2013,0
2017,0
2020,0
2021,0
2017,0
2019,0
2022,0
2013,0
2022,0
2013,0
2021,0
2021,0
2021,0
2021,0
2022,0
2021,0
2022,0
2022,0
2020,0
2020,0
2022,0
2021,0
2021,0
1976,4
2019,4
2016,4
1983,4
1983,4
1979,4
1999,4
2016,4
1983,4
1989,4
2017,4
2020,4
1983,4
1976,4
1989,4
1976,4
2008,4
1983,4
1976,4
1976,4
1984,4
1989,4
1983,4
1989,4
1983,4
2013,4
2019,4
1983,4
1989,4
2016,4
1976,4
1989,4
2013,4
2008,4
2016,4
1989,4
1983,4
2019,4
1976,4
2008,4
2016,4
2005,4
2013,4
2013,4
2020,4
1976,4
2023,4
1989,4
2016,4
1999,4
2021,4
2013,4
1999,4
1983,4
1991,4
1989,4
1976,4
1999,4
1989,4
1976,4
2008,4
1976,4
2013,4
2019,4
2013,4
2000,4
1989,4
1983,4
